21:15:50: Account aaa has been created.
19:14:14: aaa has logged in from 127.0.0.1.
19:14:16: aaa/Gilei has began playing Belat.
19:18:39: aaa has logged in from 127.0.0.1.
19:18:41: aaa/Gilei has began playing Belat.
19:22:05: aaa has logged in from 127.0.0.1.
19:22:07: aaa/Gilei has began playing Belat.
19:36:19: aaa has logged in from 127.0.0.1.
19:36:21: aaa/Gilei has began playing Belat.
17:56:59: aaa has logged in from 127.0.0.1.
17:57:03: aaa/Gilei has began playing Belat.
20:43:13: aaa has logged in from 127.0.0.1.
20:43:15: aaa/Gilei has began playing Belat.
20:58:31: aaa has logged in from 127.0.0.1.
20:58:33: aaa/Gilei has began playing Belat.
21:53:10: aaa has logged in from 127.0.0.1.
21:53:12: aaa/Gilei has began playing Belat.
22:04:14: aaa has logged in from 127.0.0.1.
22:04:16: aaa/Gilei has began playing Belat.
22:19:33: aaa has logged in from 127.0.0.1.
22:19:35: aaa/Gilei has began playing Belat.
22:24:31: aaa has logged in from 127.0.0.1.
22:24:33: aaa/Gilei has began playing Belat.
22:28:16: aaa has logged in from 127.0.0.1.
22:28:18: aaa/Gilei has began playing Belat.
22:30:00: aaa has logged in from 127.0.0.1.
22:30:02: aaa/Gilei has began playing Belat.
22:35:44: aaa has logged in from 127.0.0.1.
22:35:46: aaa/Gilei has began playing Belat.
22:49:22: aaa has logged in from 127.0.0.1.
22:49:24: aaa/Gilei has began playing Belat.
22:55:02: aaa has logged in from 127.0.0.1.
22:55:04: aaa/Gilei has began playing Belat.
22:56:55: aaa has logged in from 127.0.0.1.
22:56:57: aaa/Gilei has began playing Belat.
23:08:59: aaa has logged in from 127.0.0.1.
23:09:01: aaa/Gilei has began playing Belat.
23:14:23: aaa has logged in from 127.0.0.1.
23:14:25: aaa/Gilei has began playing Belat.
23:47:57: aaa has logged in from 127.0.0.1.
23:48:00: aaa/Gilei has began playing Belat.
23:54:05: aaa has logged in from 127.0.0.1.
23:54:07: aaa/Gilei has began playing Belat.
00:07:48: aaa has logged in from 127.0.0.1.
00:07:49: aaa/Gilei has began playing Belat.
00:11:12: aaa has logged in from 127.0.0.1.
00:11:14: aaa/Gilei has began playing Belat.
00:30:42: aaa has logged in from 127.0.0.1.
00:30:44: aaa/Gilei has began playing Belat.
00:51:08: aaa has logged in from 127.0.0.1.
00:51:09: aaa/Gilei has began playing Belat.
00:55:33: aaa has logged in from 127.0.0.1.
00:55:35: aaa/Gilei has began playing Belat.
01:04:41: aaa has logged in from 127.0.0.1.
01:04:42: aaa/Gilei has began playing Belat.
01:45:05: aaa has logged in from 127.0.0.1.
01:45:07: aaa/Gilei has began playing Belat.
01:46:38: aaa has logged in from 127.0.0.1.
01:46:40: aaa/Gilei has began playing Belat.
01:53:02: aaa has logged in from 127.0.0.1.
01:53:04: aaa/Gilei has began playing Belat.
01:53:27: aaa has logged in from 127.0.0.1.
01:53:29: aaa/Gilei has began playing Belat.
01:57:18: aaa has logged in from 127.0.0.1.
01:57:21: aaa/Gilei has began playing Belat.
01:59:58: aaa has logged in from 127.0.0.1.
02:00:00: aaa/Gilei has began playing Belat.
02:08:33: aaa has logged in from 127.0.0.1.
02:08:35: aaa/Gilei has began playing Belat.
02:09:22: aaa has logged in from 127.0.0.1.
02:09:24: aaa/Gilei has began playing Belat.
02:22:26: aaa has logged in from 127.0.0.1.
02:22:28: aaa/Gilei has began playing Belat.
02:32:21: aaa has logged in from 127.0.0.1.
02:32:23: aaa/Gilei has began playing Belat.
02:34:49: aaa has logged in from 127.0.0.1.
02:34:52: aaa/Gilei has began playing Belat.
02:35:59: aaa has logged in from 127.0.0.1.
02:36:01: aaa/Gilei has began playing Belat.
02:44:24: aaa has logged in from 127.0.0.1.
02:44:26: aaa/Gilei has began playing Belat.
02:45:25: aaa has logged in from 127.0.0.1.
02:45:27: aaa/Gilei has began playing Belat.
02:47:11: aaa has logged in from 127.0.0.1.
02:47:13: aaa/Gilei has began playing Belat.
02:48:05: aaa has logged in from 127.0.0.1.
02:48:09: aaa/Gilei has began playing Belat.
02:52:45: aaa has logged in from 127.0.0.1.
02:52:46: aaa/Gilei has began playing Belat.
15:23:26: aaa has logged in from 127.0.0.1.
15:23:29: aaa/Gilei has began playing Belat.
15:25:23: aaa has logged in from 127.0.0.1.
15:25:25: aaa/Gilei has began playing Belat.
15:41:00: aaa has logged in from 127.0.0.1.
15:41:02: aaa/Gilei has began playing Belat.
18:29:35: aaa has logged in from 127.0.0.1.
18:29:37: aaa/Gilei has began playing Belat.
18:40:39: aaa has logged in from 127.0.0.1.
18:40:41: aaa/Gilei has began playing Belat.
19:47:33: aaa has logged in from 127.0.0.1.
19:47:35: aaa/Gilei has began playing Belat.
19:51:45: aaa has logged in from 127.0.0.1.
19:51:47: aaa/Gilei has began playing Belat.
19:53:49: aaa has logged in from 127.0.0.1.
19:53:52: aaa/Gilei has began playing Belat.
20:15:39: aaa has logged in from 127.0.0.1.
20:15:41: aaa/Gilei has began playing Belat.
20:19:16: aaa has logged in from 127.0.0.1.
20:19:18: aaa/Gilei has began playing Belat.
20:34:35: aaa has logged in from 127.0.0.1.
20:34:37: aaa/Gilei has began playing Belat.
20:35:45: aaa has logged in from 127.0.0.1.
20:35:48: aaa/Gilei has began playing Belat.
20:37:59: aaa has logged in from 127.0.0.1.
20:38:01: aaa/Gilei has began playing Belat.
20:43:16: aaa has logged in from 127.0.0.1.
20:43:19: aaa/Gilei has began playing Belat.
20:47:30: aaa has logged in from 127.0.0.1.
20:47:32: aaa/Gilei has began playing Belat.
20:49:45: aaa has logged in from 127.0.0.1.
20:49:47: aaa/Gilei has began playing Belat.
21:01:00: aaa has logged in from 127.0.0.1.
21:01:03: aaa/Gilei has began playing Belat.
21:02:37: aaa has logged in from 127.0.0.1.
21:02:39: aaa/Gilei has began playing Belat.
21:03:53: aaa has logged in from 127.0.0.1.
21:03:55: aaa/Gilei has began playing Belat.
21:04:25: aaa has logged in from 127.0.0.1.
21:04:27: aaa/Gilei has began playing Belat.
21:04:46: aaa has logged in from 127.0.0.1.
21:04:52: aaa/Gilei has began playing Belat.
21:06:00: aaa has logged in from 127.0.0.1.
21:06:02: aaa/Gilei has began playing Belat.
21:06:36: aaa has logged in from 127.0.0.1.
21:06:37: aaa/Gilei has began playing Belat.
21:07:39: aaa has logged in from 127.0.0.1.
21:07:41: aaa/Gilei has began playing Belat.
21:12:09: aaa has logged in from 127.0.0.1.
21:12:11: aaa/Gilei has began playing Belat.
21:12:44: aaa has logged in from 127.0.0.1.
21:12:46: aaa/Gilei has began playing Belat.
21:13:23: aaa has logged in from 127.0.0.1.
21:13:35: aaa/Gilei has began playing Belat.
21:14:42: aaa has logged in from 127.0.0.1.
21:14:44: aaa/Gilei has began playing Belat.
21:15:19: aaa has logged in from 127.0.0.1.
21:15:20: aaa/Gilei has began playing Belat.
21:15:38: aaa has logged in from 127.0.0.1.
21:15:39: aaa/Gilei has began playing Belat.
21:16:29: aaa has logged in from 127.0.0.1.
21:16:30: aaa/Gilei has began playing Belat.
21:16:54: aaa has logged in from 127.0.0.1.
21:17:02: aaa/Gilei has began playing Belat.
21:17:21: aaa has logged in from 127.0.0.1.
21:17:23: aaa/Gilei has began playing Belat.
21:17:41: aaa has logged in from 127.0.0.1.
21:17:43: aaa/Gilei has began playing Belat.
21:18:07: aaa has logged in from 127.0.0.1.
21:18:09: aaa/Gilei has began playing Belat.
21:18:23: aaa has logged in from 127.0.0.1.
21:18:24: aaa/Gilei has began playing Belat.
21:18:47: aaa has logged in from 127.0.0.1.
21:18:48: aaa/Gilei has began playing Belat.
21:20:09: aaa has logged in from 127.0.0.1.
21:20:11: aaa/Gilei has began playing Belat.
21:20:50: aaa has logged in from 127.0.0.1.
21:20:51: aaa/Gilei has began playing Belat.
21:21:19: aaa has logged in from 127.0.0.1.
21:21:20: aaa/Gilei has began playing Belat.
21:22:11: aaa has logged in from 127.0.0.1.
21:22:13: aaa/Gilei has began playing Belat.
21:22:32: aaa has logged in from 127.0.0.1.
21:22:34: aaa/Gilei has began playing Belat.
21:22:49: aaa has logged in from 127.0.0.1.
21:22:51: aaa/Gilei has began playing Belat.
21:23:10: aaa has logged in from 127.0.0.1.
21:23:12: aaa/Gilei has began playing Belat.
21:23:28: aaa has logged in from 127.0.0.1.
21:23:31: aaa/Gilei has began playing Belat.
21:30:37: aaa has logged in from 127.0.0.1.
21:30:38: aaa/Gilei has began playing Belat.
21:36:46: aaa has logged in from 127.0.0.1.
21:36:48: aaa/Gilei has began playing Belat.
21:37:39: aaa has logged in from 127.0.0.1.
21:37:40: aaa/Gilei has began playing Belat.
21:41:45: aaa has logged in from 127.0.0.1.
21:41:47: aaa/Gilei has began playing Belat.
21:44:04: aaa has logged in from 127.0.0.1.
21:44:06: aaa/Gilei has began playing Belat.
21:51:58: aaa has logged in from 127.0.0.1.
21:52:00: aaa/Gilei has began playing Belat.
21:56:16: aaa has logged in from 127.0.0.1.
21:56:18: aaa/Gilei has began playing Belat.
00:14:24: aaa has logged in from 127.0.0.1.
00:14:27: aaa/Gilei has began playing Belat.
00:21:26: aaa has logged in from 127.0.0.1.
00:21:28: aaa/Gilei has began playing Belat.
00:23:12: aaa has logged in from 127.0.0.1.
00:23:14: aaa/Gilei has began playing Belat.
00:42:45: aaa has logged in from 127.0.0.1.
00:42:46: aaa/Gilei has began playing Belat.
00:45:56: aaa has logged in from 127.0.0.1.
00:45:58: aaa/Gilei has began playing Belat.
01:09:27: aaa has logged in from 127.0.0.1.
01:09:28: aaa/Gilei has began playing Belat.
01:11:37: aaa has logged in from 127.0.0.1.
01:11:39: aaa/Gilei has began playing Belat.
01:12:59: aaa has logged in from 127.0.0.1.
01:13:04: aaa/Gilei has began playing Belat.
01:28:03: aaa has logged in from 127.0.0.1.
01:28:05: aaa/Gilei has began playing Belat.
01:50:37: aaa has logged in from 127.0.0.1.
01:50:38: aaa/Gilei has began playing Belat.
01:56:09: aaa has logged in from 127.0.0.1.
01:56:11: aaa/Gilei has began playing Belat.
01:57:38: aaa has logged in from 127.0.0.1.
01:57:40: aaa/Gilei has began playing Belat.
02:00:04: aaa has logged in from 127.0.0.1.
02:00:06: aaa/Gilei has began playing Belat.
02:01:06: aaa has logged in from 127.0.0.1.
02:01:08: aaa/Gilei has began playing Belat.
02:12:00: aaa has logged in from 127.0.0.1.
02:12:02: aaa/Gilei has began playing Belat.
02:12:09: Map #2: Gilei : ytryrt
02:13:17: aaa has logged in from 127.0.0.1.
02:13:19: aaa/Gilei has began playing Belat.
02:13:23: Map #2: Gilei : grgfdgf
02:13:26: Map #2: Gilei : dfdjskflhvsklshfjklvf
02:13:40: aaa has logged in from 127.0.0.1.
02:13:41: aaa/Gilei has began playing Belat.
02:13:49: Map #2: Gilei : rewjhrkwlre
02:13:51: Map #2: Gilei : rerwr
02:13:52: Map #2: Gilei : rewrewr
02:13:53: Map #2: Gilei : rew
02:13:53: Map #2: Gilei : werwe
02:13:54: Map #2: Gilei : rew
02:13:55: Map #2: Gilei : r
02:16:13: aaa has logged in from 127.0.0.1.
02:16:16: aaa/Gilei has began playing Belat.
02:16:19: Map #2: Gilei : ggfd
02:16:21: Map #2: Gilei : trete
02:16:22: Map #2: Gilei : treter
02:16:46: aaa has logged in from 127.0.0.1.
02:16:48: aaa/Gilei has began playing Belat.
02:16:51: Map #2: Gilei : fdsfsdfs
02:16:52: Map #2: Gilei : fdsfds
02:18:57: aaa has logged in from 127.0.0.1.
02:18:59: aaa/Gilei has began playing Belat.
02:19:02: Map #2: Gilei : hgthfg
02:19:03: Map #2: Gilei : trtrt
02:19:04: Map #2: Gilei : trete
02:21:03: aaa has logged in from 127.0.0.1.
02:21:05: aaa/Gilei has began playing Belat.
02:21:08: Map #2: Gilei : gdfgdfg
02:21:34: aaa has logged in from 127.0.0.1.
02:21:36: aaa/Gilei has began playing Belat.
02:21:38: Map #2: Gilei : gfdgdfgfdg
02:21:40: Map #2: Gilei : gfdgfdgrtreget
02:21:42: Map #2: Gilei : vttettete
02:21:43: Map #2: Gilei : wstbetsw
02:21:44: Map #2: Gilei : tbetsebtesb
02:21:45: Map #2: Gilei : btst
02:21:46: Map #2: Gilei : btrt
02:31:56: aaa has logged in from 127.0.0.1.
02:31:59: aaa/Gilei has began playing Belat.
02:43:32: Map #2: Gilei : frfrmPlayerChat.txtChat.SelColor = QBColor(Yellow)frmPlayerChat.txtChat.SelColor = QBColor(Yellow)frmPlayerChat.txtChat.SelColor = QBColor(Yellow)frmPlayerChat.txtChat.SelColor = QBColor(Yellow)frmPlayerChat.txtChatrChat.txtChat.SelColor = QBColor(Yellow)
02:53:00: aaa has logged in from 127.0.0.1.
02:53:01: aaa/Gilei has began playing Belat.
02:53:17: aaa has logged in from 127.0.0.1.
02:53:18: aaa/Gilei has began playing Belat.
02:57:09: aaa has logged in from 127.0.0.1.
02:57:11: aaa/Gilei has began playing Belat.
03:03:02: aaa has logged in from 127.0.0.1.
03:03:03: aaa/Gilei has began playing Belat.
03:03:35: Map #2: Gilei : fgdgdf
03:08:00: aaa has logged in from 127.0.0.1.
03:08:02: aaa/Gilei has began playing Belat.
03:08:11: aaa has logged in from 127.0.0.1.
03:08:12: aaa/Gilei has began playing Belat.
03:09:06: aaa has logged in from 127.0.0.1.
03:09:07: aaa/Gilei has began playing Belat.
03:34:37: aaa has logged in from 127.0.0.1.
03:34:39: aaa/Gilei has began playing Belat.
03:34:59: aaa has logged in from 127.0.0.1.
03:35:00: aaa/Gilei has began playing Belat.
03:35:29: aaa has logged in from 127.0.0.1.
03:35:30: aaa/Gilei has began playing Belat.
03:46:05: aaa has logged in from 127.0.0.1.
03:46:06: aaa/Gilei has began playing Belat.
03:46:55: aaa has logged in from 127.0.0.1.
03:46:57: aaa/Gilei has began playing Belat.
04:01:30: aaa has logged in from 127.0.0.1.
04:02:04: aaa has logged in from 127.0.0.1.
04:03:09: aaa has logged in from 127.0.0.1.
04:03:11: aaa/Gilei has began playing Belat.
04:09:17: aaa has logged in from 127.0.0.1.
04:09:19: aaa/Gilei has began playing Belat.
04:23:15: aaa has logged in from 127.0.0.1.
04:23:17: aaa/Gilei has began playing Belat.
04:30:35: aaa has logged in from 127.0.0.1.
04:30:37: aaa/Gilei has began playing Belat.
04:33:57: aaa has logged in from 127.0.0.1.
04:33:59: aaa/Gilei has began playing Belat.
04:45:26: aaa has logged in from 127.0.0.1.
04:45:29: aaa/Gilei has began playing Belat.
04:46:50: aaa has logged in from 127.0.0.1.
04:46:52: aaa/Gilei has began playing Belat.
04:48:38: aaa has logged in from 127.0.0.1.
04:48:40: aaa/Gilei has began playing Belat.
04:53:54: aaa has logged in from 127.0.0.1.
04:53:56: aaa/Gilei has began playing Belat.
20:19:07: aaa has logged in from 127.0.0.1.
20:19:20: aaa/Gilei has began playing Belat.
20:27:47: aaa has logged in from 127.0.0.1.
20:27:48: aaa/Gilei has began playing Belat.
20:30:54: aaa has logged in from 127.0.0.1.
20:30:56: aaa/Gilei has began playing Belat.
20:32:34: Map #2: Gilei : ffsdf
20:32:35: Map #2: Gilei : fdsfsfdsf
20:36:06: aaa has logged in from 127.0.0.1.
20:36:08: aaa/Gilei has began playing Belat.
20:42:46: aaa has logged in from 127.0.0.1.
20:42:48: aaa/Gilei has began playing Belat.
20:44:53: aaa has logged in from 127.0.0.1.
20:44:55: aaa/Gilei has began playing Belat.
20:46:10: aaa has logged in from 127.0.0.1.
20:46:12: aaa/Gilei has began playing Belat.
20:47:19: aaa has logged in from 127.0.0.1.
20:47:20: aaa/Gilei has began playing Belat.
20:51:44: aaa has logged in from 127.0.0.1.
20:51:45: aaa/Gilei has began playing Belat.
21:50:04: aaa has logged in from 127.0.0.1.
21:50:06: aaa/Gilei has began playing Belat.
21:52:30: aaa has logged in from 127.0.0.1.
21:52:31: aaa/Gilei has began playing Belat.
21:53:08: aaa has logged in from 127.0.0.1.
21:53:10: aaa/Gilei has began playing Belat.
22:08:27: aaa has logged in from 127.0.0.1.
22:08:29: aaa/Gilei has began playing Belat.
22:10:39: aaa has logged in from 127.0.0.1.
22:10:41: aaa/Gilei has began playing Belat.
22:13:40: aaa has logged in from 127.0.0.1.
22:13:43: aaa/Gilei has began playing Belat.
22:19:51: aaa has logged in from 127.0.0.1.
22:19:53: aaa/Gilei has began playing Belat.
22:21:43: aaa has logged in from 127.0.0.1.
22:21:44: aaa/Gilei has began playing Belat.
22:29:39: aaa has logged in from 127.0.0.1.
22:29:41: aaa/Gilei has began playing Belat.
22:29:59: aaa has logged in from 127.0.0.1.
22:30:00: aaa/Gilei has began playing Belat.
22:33:49: aaa has logged in from 127.0.0.1.
22:33:51: aaa/Gilei has began playing Belat.
01:05:05: aaa has logged in from 127.0.0.1.
01:05:07: aaa/Gilei has began playing Belat.
01:10:16: aaa has logged in from 127.0.0.1.
01:10:18: aaa/Gilei has began playing Belat.
01:11:47: aaa has logged in from 127.0.0.1.
01:11:49: aaa/Gilei has began playing Belat.
01:13:00: aaa has logged in from 127.0.0.1.
01:13:02: aaa/Gilei has began playing Belat.
01:13:58: aaa has logged in from 127.0.0.1.
01:13:59: aaa/Gilei has began playing Belat.
02:05:50: aaa has logged in from 127.0.0.1.
02:05:52: aaa/Gilei has began playing Belat.
02:09:27: aaa has logged in from 127.0.0.1.
02:09:28: aaa/Gilei has began playing Belat.
02:13:13: aaa has logged in from 127.0.0.1.
02:13:15: aaa/Gilei has began playing Belat.
02:15:35: aaa has logged in from 127.0.0.1.
02:15:37: aaa/Gilei has began playing Belat.
02:16:45: aaa has logged in from 127.0.0.1.
02:16:49: aaa/Gilei has began playing Belat.
02:21:01: aaa has logged in from 127.0.0.1.
02:21:03: aaa/Gilei has began playing Belat.
02:21:43: aaa has logged in from 127.0.0.1.
02:21:44: aaa/Gilei has began playing Belat.
02:23:18: aaa has logged in from 127.0.0.1.
02:23:19: aaa/Gilei has began playing Belat.
02:42:59: aaa has logged in from 127.0.0.1.
02:43:00: aaa/Gilei has began playing Belat.
02:44:30: aaa has logged in from 127.0.0.1.
02:44:32: aaa/Gilei has began playing Belat.
02:45:46: aaa has logged in from 127.0.0.1.
02:45:48: aaa/Gilei has began playing Belat.
02:46:20: aaa has logged in from 127.0.0.1.
02:46:21: aaa/Gilei has began playing Belat.
02:47:00: aaa has logged in from 127.0.0.1.
02:47:02: aaa/Gilei has began playing Belat.
02:48:55: aaa has logged in from 127.0.0.1.
02:48:56: aaa/Gilei has began playing Belat.
02:51:23: aaa has logged in from 127.0.0.1.
02:51:24: aaa/Gilei has began playing Belat.
03:19:17: aaa has logged in from 127.0.0.1.
03:19:18: aaa/Gilei has began playing Belat.
03:20:09: aaa has logged in from 127.0.0.1.
03:20:18: aaa/Gilei has began playing Belat.
03:22:08: aaa has logged in from 127.0.0.1.
03:22:10: aaa/Gilei has began playing Belat.
03:24:36: aaa has logged in from 127.0.0.1.
03:24:38: aaa/Gilei has began playing Belat.
03:32:09: aaa has logged in from 127.0.0.1.
03:32:10: aaa/Gilei has began playing Belat.
03:34:50: aaa has logged in from 127.0.0.1.
03:34:52: aaa/Gilei has began playing Belat.
03:39:26: aaa has logged in from 127.0.0.1.
03:39:27: aaa/Gilei has began playing Belat.
03:44:51: aaa has logged in from 127.0.0.1.
03:44:53: aaa/Gilei has began playing Belat.
03:46:57: aaa has logged in from 127.0.0.1.
03:46:58: aaa/Gilei has began playing Belat.
03:50:00: aaa has logged in from 127.0.0.1.
03:50:02: aaa/Gilei has began playing Belat.
03:50:33: Map #2: Gilei : fdsfs
03:50:35: Map #2: Gilei : gfdgd
03:50:36: Map #2: Gilei : gfdg
03:53:24: aaa has logged in from 127.0.0.1.
03:53:33: aaa/Gilei has began playing Belat.
03:57:03: aaa has logged in from 127.0.0.1.
03:57:04: aaa/Gilei has began playing Belat.
04:08:57: aaa has logged in from 127.0.0.1.
04:08:58: aaa/Gilei has began playing Belat.
04:12:59: aaa has logged in from 127.0.0.1.
04:13:02: aaa/Gilei has began playing Belat.
04:20:14: aaa has logged in from 127.0.0.1.
04:20:16: aaa/Gilei has began playing Belat.
04:22:08: aaa has logged in from 127.0.0.1.
04:22:09: aaa/Gilei has began playing Belat.
21:24:11: aaa has logged in from 127.0.0.1.
21:24:16: aaa/Gilei has began playing Belat.
21:25:30: Map #2: Gilei : hfgff
21:27:42: aaa has logged in from 127.0.0.1.
21:27:44: aaa/Gilei has began playing Belat.
21:29:43: aaa has logged in from 127.0.0.1.
21:29:45: aaa/Gilei has began playing Belat.
21:36:11: aaa has logged in from 127.0.0.1.
21:36:16: Character deleted on aaa's account.
21:37:26: aaa has logged in from 127.0.0.1.
21:37:58: Character Dalster added to aaa's account.
21:38:01: aaa/Dalster has began playing Belat.
21:41:07: aaa has logged in from 127.0.0.1.
21:41:11: Character deleted on aaa's account.
21:41:21: Character Dalster added to aaa's account.
21:41:23: aaa/Dalster has began playing Belat.
21:41:50: aaa has logged in from 127.0.0.1.
21:41:52: aaa/Gilei has began playing Belat.
21:42:06: aaa has logged in from 127.0.0.1.
21:42:07: aaa/Dalster has began playing Belat.
21:47:49: aaa has logged in from 127.0.0.1.
21:47:54: Character deleted on aaa's account.
21:48:03: Character Dalster added to aaa's account.
21:48:06: aaa/Dalster has began playing Belat.
21:51:34: aaa has logged in from 127.0.0.1.
21:51:36: aaa/Dalster has began playing Belat.
00:22:29: aaa has logged in from 127.0.0.1.
00:22:31: aaa/Gilei has began playing Belat.
00:31:28: aaa has logged in from 127.0.0.1.
00:31:34: Character deleted on aaa's account.
00:31:44: Character Dalster added to aaa's account.
00:31:46: aaa/Dalster has began playing Belat.
00:41:54: aaa has logged in from 127.0.0.1.
00:41:58: Character deleted on aaa's account.
00:42:07: Character Dalster added to aaa's account.
00:42:10: aaa/Dalster has began playing Belat.
01:04:00: aaa has logged in from 127.0.0.1.
01:04:02: aaa/Dalster has began playing Belat.
01:04:41: aaa has logged in from 127.0.0.1.
01:04:43: aaa/Dalster has began playing Belat.
01:07:51: aaa has logged in from 127.0.0.1.
01:07:53: aaa/Dalster has began playing Belat.
01:08:33: aaa has logged in from 127.0.0.1.
01:08:34: aaa/Dalster has began playing Belat.
01:08:57: aaa has logged in from 127.0.0.1.
01:08:58: aaa/Dalster has began playing Belat.
01:10:24: aaa has logged in from 127.0.0.1.
01:10:26: aaa/Dalster has began playing Belat.
01:10:46: aaa has logged in from 127.0.0.1.
01:10:47: aaa/Dalster has began playing Belat.
01:11:01: aaa has logged in from 127.0.0.1.
01:11:02: aaa/Dalster has began playing Belat.
01:11:44: aaa has logged in from 127.0.0.1.
01:11:46: aaa/Gilei has began playing Belat.
01:18:58: aaa has logged in from 127.0.0.1.
01:19:00: aaa/Gilei has began playing Belat.
01:21:21: aaa has logged in from 127.0.0.1.
01:21:24: aaa/Gilei has began playing Belat.
01:24:04: aaa has logged in from 127.0.0.1.
01:24:06: aaa/Gilei has began playing Belat.
01:29:47: aaa has logged in from 127.0.0.1.
01:29:48: aaa/Gilei has began playing Belat.
01:37:59: Map #2: Gilei : dffgfdg
01:50:01: aaa has logged in from 127.0.0.1.
01:50:19: aaa has logged in from 127.0.0.1.
01:50:24: Character deleted on aaa's account.
01:50:43: aaa has logged in from 127.0.0.1.
01:51:04: Character Dalster added to aaa's account.
01:51:20: aaa/Dalster has began playing Belat.
01:59:02: aaa has logged in from 127.0.0.1.
01:59:04: aaa/Dalster has began playing Belat.
02:00:11: aaa has logged in from 127.0.0.1.
02:00:13: aaa/Dalster has began playing Belat.
02:00:41: aaa has logged in from 127.0.0.1.
02:00:43: aaa/Dalster has began playing Belat.
02:15:06: aaa has logged in from 127.0.0.1.
02:15:09: aaa/Gilei has began playing Belat.
02:21:13: aaa has logged in from 127.0.0.1.
02:21:15: aaa/Gilei has began playing Belat.
02:29:00: aaa has logged in from 127.0.0.1.
02:29:02: aaa/Gilei has began playing Belat.
02:31:17: aaa has logged in from 127.0.0.1.
02:31:19: aaa/Gilei has began playing Belat.
02:31:42: aaa has logged in from 127.0.0.1.
02:31:45: aaa/Gilei has began playing Belat.
02:33:27: aaa has logged in from 127.0.0.1.
02:33:28: aaa/Gilei has began playing Belat.
02:34:53: aaa has logged in from 127.0.0.1.
02:34:54: aaa/Gilei has began playing Belat.
02:36:44: aaa has logged in from 127.0.0.1.
02:36:46: aaa/DEV Gileijah has began playing Belat.
02:38:15: aaa has logged in from 127.0.0.1.
02:38:17: aaa/Gilei has began playing Belat.
02:38:57: aaa has logged in from 127.0.0.1.
02:38:59: aaa/Gilei has began playing Belat.
02:51:37: aaa has logged in from 127.0.0.1.
02:51:39: aaa/Gilei has began playing Belat.
03:13:39: aaa has logged in from 127.0.0.1.
03:13:41: aaa/Gilei has began playing Belat.
01:12:17: aaa has logged in from 127.0.0.1.
01:12:19: aaa/Gilei has began playing Belat.
01:22:15: aaa has logged in from 127.0.0.1.
01:22:17: aaa/Gilei has began playing Belat.
01:33:32: aaa has logged in from 127.0.0.1.
01:33:34: aaa/Gilei has began playing Belat.
01:36:58: aaa has logged in from 127.0.0.1.
01:37:00: aaa/Gilei has began playing Belat.
01:39:33: aaa has logged in from 127.0.0.1.
01:39:34: aaa/Gilei has began playing Belat.
01:40:34: aaa has logged in from 127.0.0.1.
01:40:35: aaa/Gilei has began playing Belat.
01:40:52: aaa has logged in from 127.0.0.1.
01:40:53: aaa/Gilei has began playing Belat.
01:43:15: aaa has logged in from 127.0.0.1.
01:43:16: aaa/Gilei has began playing Belat.
01:51:41: aaa has logged in from 127.0.0.1.
01:51:43: aaa/Gilei has began playing Belat.
01:53:10: aaa has logged in from 127.0.0.1.
01:53:11: aaa/Gilei has began playing Belat.
01:55:45: aaa has logged in from 127.0.0.1.
01:55:46: aaa/Gilei has began playing Belat.
01:57:10: aaa has logged in from 127.0.0.1.
01:57:11: aaa/Gilei has began playing Belat.
01:58:22: aaa has logged in from 127.0.0.1.
01:58:24: aaa/Gilei has began playing Belat.
01:59:00: aaa has logged in from 127.0.0.1.
01:59:01: aaa/Gilei has began playing Belat.
01:59:23: aaa has logged in from 127.0.0.1.
01:59:24: aaa/Gilei has began playing Belat.
01:59:46: aaa has logged in from 127.0.0.1.
01:59:48: aaa/Gilei has began playing Belat.
02:01:19: aaa has logged in from 127.0.0.1.
02:01:21: aaa/Gilei has began playing Belat.
02:05:11: aaa has logged in from 127.0.0.1.
02:05:13: aaa/Gilei has began playing Belat.
02:07:52: aaa has logged in from 127.0.0.1.
02:07:54: aaa/Gilei has began playing Belat.
02:08:43: aaa has logged in from 127.0.0.1.
02:08:45: aaa/Gilei has began playing Belat.
02:11:05: aaa has logged in from 127.0.0.1.
02:11:07: aaa/Gilei has began playing Belat.
02:12:01: aaa has logged in from 127.0.0.1.
02:12:03: aaa/Gilei has began playing Belat.
02:13:34: aaa has logged in from 127.0.0.1.
02:13:36: aaa/Gilei has began playing Belat.
02:14:00: aaa has logged in from 127.0.0.1.
02:14:02: aaa/Gilei has began playing Belat.
02:14:13: aaa has logged in from 127.0.0.1.
02:14:15: aaa/Gilei has began playing Belat.
02:14:26: aaa has logged in from 127.0.0.1.
02:14:27: aaa/Gilei has began playing Belat.
02:15:08: aaa has logged in from 127.0.0.1.
02:15:09: aaa/Gilei has began playing Belat.
02:15:27: aaa has logged in from 127.0.0.1.
02:15:29: aaa/Gilei has began playing Belat.
02:17:03: aaa has logged in from 127.0.0.1.
02:17:06: aaa/Gilei has began playing Belat.
02:20:04: aaa has logged in from 127.0.0.1.
02:20:05: aaa/Gilei has began playing Belat.
02:21:31: aaa has logged in from 127.0.0.1.
02:21:33: aaa/Gilei has began playing Belat.
02:23:49: aaa has logged in from 127.0.0.1.
02:23:51: aaa/Gilei has began playing Belat.
02:38:57: aaa has logged in from 127.0.0.1.
02:38:58: aaa/Gilei has began playing Belat.
